,Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
0,fandeg_P1,2.00621e-06,1.22528e-08,9.70118e-06,9.74433e-08,9.89829e-08,5.29188e-10,-11.7495559764,,-15.9545895797,0.0190171529,-1.9421160594,0.0072658482
1,fabfof_P1_charged_H,3.63334e-06,3.16051e-08,2.37579e-05,2.09076e-07,1.34928e-07,6.15018e-10,-14.2665954697,,-19.3586859572,0.0156101802,-2.2402031816,0.0057692601
2,ewobav_P1,2.8076e-06,3.16424e-08,2.1879e-05,6.90671e-07,5.90737e-08,4.27135e-10,-17.2259074927,,-23.0423292919,0.0839447511,-2.7234872651,0.0110095011
3,eyopue_P1,1.30161e-05,1.51736e-07,0.000152983,2.77946e-06,1.42598e-07,5.16981e-10,-17.8516372645,,-25.119244955,0.0499195159,-2.5303703028,0.0095234218
4,eyoqal_P1,1.99563e-05,1.64248e-07,0.000262962,6.32428e-06,1.52999e-07,5.50695e-10,-18.738140281,,-26.2551558673,0.0570448477,-2.7450720504,0.0100782518
5,famqes_P1,5.19347e-06,2.5893e-08,2.08001e-05,1.70769e-07,4.3264e-07,3.79975e-10,-10.6884248434,,-15.2268648268,0.0467939516,-1.3799701998,0.0059215927
6,fewsim_P1,6.11812e-06,7.08107e-08,5.83902e-05,1.40534e-06,9.98557e-08,2.19151e-10,-18.1126998454,,-24.161848735,0.0481883991,-2.7989503991,0.0076731976
7,fakmir_P1_H,3.78301e-06,1.69274e-08,1.12354e-05,1.4516e-07,7.18827e-07,1.58556e-09,-8.0522800783,,-12.278304587,0.0596041491,-0.7469583456,0.0084708544
8,fayqih_P1,5.40559e-06,2.03702e-08,2.70127e-05,3.60373e-07,2.83857e-07,9.51198e-10,-12.1260138026,,-17.2189798038,0.0584261295,-1.7239702871,0.0033981266
9,eyakib_P1,8.15249e-06,1.19048e-07,7.27557e-05,1.21275e-06,1.14976e-07,8.72213e-10,-16.5889824203,,-22.3427169324,0.0181875885,-2.6127774204,0.0055877461
