Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
wehpop_P1_charged,4.19447e-07,1.42109e-14,4.1948e-07,0,4.19417e-07,0,-0.0001764909,,-0.0003713980,0.0000000000,-0.0000022807,0.0000000000
witjoa_P1,3.79057e-07,1.42109e-14,3.79103e-07,0,3.79016e-07,0,-0.0002710958,,-0.0005704798,0.0000000000,-0.0000035032,0.0000000000
wofqiu_P1_charged_H,6.4291e-07,2.00972e-14,6.42957e-07,1.42109e-14,6.42869e-07,1.42109e-14,-0.0001615287,,-0.0003399123,0.0000000000,-0.0000020872,0.0000000000
wolhir_P1_charged,2.89908e-07,0,2.89958e-07,7.10543e-15,2.89862e-07,7.10543e-15,-0.0003928395,,-0.0008266707,0.0000000000,-0.0000050763,0.0000000000
wejxui_P1,3.5821e-07,1.00486e-14,3.58264e-07,0,3.58162e-07,0,-0.0003365315,,-0.0007081795,0.0000000000,-0.0000043486,0.0000000000
woyjif_P1_charged_H,4.75905e-07,0,4.75952e-07,1.00486e-14,4.75863e-07,0,-0.0002205799,,-0.0004641766,0.0000000000,-0.0000028503,0.0000000000
wufcei_P1_charged,2.99318e-07,0,2.99354e-07,7.10543e-15,2.99286e-07,7.10543e-15,-0.0002682016,,-0.0005643896,0.0000000000,-0.0000034656,0.0000000000
wejzet_P1,2.6332e-07,7.10543e-15,2.63331e-07,7.10543e-15,2.63311e-07,0,-0.0000938881,,-0.0001975732,0.0000000000,-0.0000012133,0.0000000000
wevvol_P1_charged,3.41828e-07,1.00486e-14,3.41862e-07,0,3.41797e-07,0,-0.0002240229,,-0.0004714222,0.0000000000,-0.0000028949,0.0000000000
wodzex_P1_charged,3.64266e-07,1.00486e-14,3.64312e-07,1.00486e-14,3.64225e-07,0,-0.0002817648,,-0.0005929308,0.0000000000,-0.0000036411,0.0000000000
wircos_P1_H,4.01569e-07,0,4.01606e-07,1.00486e-14,4.01537e-07,1.00486e-14,-0.0002059434,,-0.0004333761,0.0000000000,-0.0000026613,0.0000000000
workul_P1_H,4.12121e-07,1.00486e-14,4.12148e-07,1.00486e-14,4.12096e-07,0,-0.0001471684,,-0.0003096936,0.0000000000,-0.0000019015,0.0000000000
wercuu_P1_charged_H,4.53873e-07,0,4.53938e-07,0,4.53815e-07,1.00486e-14,-0.0003214985,,-0.0006765446,0.0000000000,-0.0000041542,0.0000000000
woyjeb_P1_charged_H,4.73391e-07,1.00486e-14,4.73437e-07,1.00486e-14,4.73349e-07,0,-0.0002198926,,-0.0004627305,0.0000000000,-0.0000028415,0.0000000000
wenlae_P1,2.45055e-07,0,2.45079e-07,7.10543e-15,2.45033e-07,1.00486e-14,-0.0002206540,,-0.0004643325,0.0000000000,-0.0000028513,0.0000000000
wiqtun_P1,3.97417e-07,1.00486e-14,3.9745e-07,1.42109e-14,3.97387e-07,1.00486e-14,-0.0001879275,,-0.0003954649,0.0000000000,-0.0000024284,0.0000000000
wenkux_P1,2.50849e-07,0,2.50873e-07,0,2.50827e-07,7.10543e-15,-0.0002166402,,-0.0004558859,0.0000000000,-0.0000027998,0.0000000000
wizmav11_P1,5.56274e-07,1.42109e-14,5.56372e-07,1.42109e-14,5.56187e-07,0,-0.0003940329,,-0.0008291820,0.0000000000,-0.0000050916,0.0000000000
wofqoa_P1_charged_H,6.10945e-07,1.42109e-14,6.10986e-07,1.42109e-14,6.10909e-07,2.00972e-14,-0.0001490604,,-0.0003136746,0.0000000000,-0.0000019261,0.0000000000
wonvih_P1_H,3.99144e-07,1.00486e-14,3.99185e-07,0,3.99106e-07,1.00486e-14,-0.0002351969,,-0.0004949360,0.0000000000,-0.0000030391,0.0000000000
wexwee_P1,4.52243e-07,0,4.52276e-07,1.42109e-14,4.52214e-07,1.42109e-14,-0.0001639790,,-0.0003450695,0.0000000000,-0.0000021188,0.0000000000
wogpam_P1_H,4.18542e-07,1.00486e-14,4.18616e-07,1.00486e-14,4.18476e-07,0,-0.0003973951,,-0.0008362574,0.0000000000,-0.0000051351,0.0000000000
wofqeq_P1_charged_H,7.20438e-07,0,7.20491e-07,2.00972e-14,7.20391e-07,2.00972e-14,-0.0001647693,,-0.0003467320,0.0000000000,-0.0000021292,0.0000000000
wodkae_P1,2.59441e-07,0,2.59463e-07,0,2.59421e-07,1.00486e-14,-0.0001909964,,-0.0004019227,0.0000000000,-0.0000024680,0.0000000000
wexjob_P1,3.15174e-07,1.00486e-14,3.15214e-07,1.00486e-14,3.15138e-07,7.10543e-15,-0.0002841721,,-0.0005979971,0.0000000000,-0.0000036722,0.0000000000
wetfuz_P1_H,3.93642e-07,0,3.93678e-07,1.42109e-14,3.9361e-07,0,-0.0002067082,,-0.0004349856,0.0000000000,-0.0000026708,0.0000000000
wohbol_P1,2.97905e-07,0,2.97966e-07,7.10543e-15,2.97851e-07,1.00486e-14,-0.0004558213,,-0.0009592063,0.0000000000,-0.0000058901,0.0000000000
wistid_P1_H,2.55986e-07,1.00486e-14,2.56022e-07,7.10543e-15,2.55953e-07,0,-0.0003179422,,-0.0006690611,0.0000000000,-0.0000041083,0.0000000000
wuhjit_P1,4.89731e-07,1.42109e-14,4.89795e-07,0,4.89673e-07,0,-0.0002959300,,-0.0006227394,0.0000000000,-0.0000038240,0.0000000000
wizmav06_P1,5.57188e-07,1.42109e-14,5.57285e-07,1.42109e-14,5.571e-07,1.42109e-14,-0.0003933866,,-0.0008278219,0.0000000000,-0.0000050833,0.0000000000
wizmav07_P1,5.54697e-07,1.42109e-14,5.54795e-07,1.42109e-14,5.5461e-07,2.00972e-14,-0.0003951530,,-0.0008315391,0.0000000000,-0.0000051061,0.0000000000
wiploy_P1_charged_H,3.15584e-07,1.2307e-14,3.15613e-07,1.2307e-14,3.15558e-07,7.10543e-15,-0.0002040553,,-0.0004294029,0.0000000000,-0.0000026368,0.0000000000
worlas_P1_H,3.75072e-07,0,3.75097e-07,1.00486e-14,3.7505e-07,0,-0.0001488496,,-0.0003132305,0.0000000000,-0.0000019231,0.0000000000
wenkeh_P1,2.61766e-07,7.10543e-15,2.6179e-07,7.10543e-15,2.61743e-07,7.10543e-15,-0.0002130009,,-0.0004482283,0.0000000000,-0.0000027529,0.0000000000
wenkor_P1,2.52473e-07,7.10543e-15,2.52497e-07,7.10543e-15,2.52451e-07,7.10543e-15,-0.0002157543,,-0.0004540226,0.0000000000,-0.0000027876,0.0000000000
widzug_P1,2.92459e-07,7.10543e-15,2.92501e-07,0,2.92422e-07,0,-0.0003203354,,-0.0006740966,0.0000000000,-0.0000041395,0.0000000000
wizmav_P1,5.58738e-07,1.42109e-14,5.58836e-07,1.42109e-14,5.58651e-07,1.42109e-14,-0.0003922949,,-0.0008255249,0.0000000000,-0.0000050691,0.0000000000
wocvug01_P1,2.7064e-07,0,2.7067e-07,7.10543e-15,2.70613e-07,1.00486e-14,-0.0002499730,,-0.0005260296,0.0000000000,-0.0000032303,0.0000000000
witkob_P1_charged,3.63497e-07,0,3.63529e-07,1.00486e-14,3.63469e-07,1.00486e-14,-0.0001936325,,-0.0004074707,0.0000000000,-0.0000025021,0.0000000000
wercoo_P1_charged_H,4.12299e-07,1.42109e-14,4.12359e-07,0,4.12245e-07,0,-0.0003271455,,-0.0006884276,0.0000000000,-0.0000042274,0.0000000000
wizmav09_P1,5.54437e-07,0,5.54535e-07,0,5.5435e-07,1.42109e-14,-0.0003953386,,-0.0008319298,0.0000000000,-0.0000051084,0.0000000000
wixlat_P1_H,4.01767e-07,1.00486e-14,4.01816e-07,1.42109e-14,4.01723e-07,1.00486e-14,-0.0002755608,,-0.0005798761,0.0000000000,-0.0000035607,0.0000000000
wonyeg_P1,3.47319e-07,0,3.47384e-07,1.00486e-14,3.47261e-07,1.00486e-14,-0.0004189786,,-0.0008816765,0.0000000000,-0.0000054140,0.0000000000
wexwaa_P1,4.5104e-07,0,4.51073e-07,1.00486e-14,4.5101e-07,1.42109e-14,-0.0001644165,,-0.0003459902,0.0000000000,-0.0000021246,0.0000000000
wercii_P1_charged_H,4.36561e-07,1.74047e-14,4.36626e-07,1.42109e-14,4.36504e-07,1.42109e-14,-0.0003316641,,-0.0006979364,0.0000000000,-0.0000042855,0.0000000000
werdab_P1_H,4.92584e-07,0,4.92656e-07,0,4.92521e-07,1.42109e-14,-0.0003243655,,-0.0006825776,0.0000000000,-0.0000041913,0.0000000000
wizmav04_P1,5.60709e-07,0,5.60807e-07,0,5.60622e-07,1.42109e-14,-0.0003909156,,-0.0008226221,0.0000000000,-0.0000050513,0.0000000000
wojzom_P1,2.37063e-07,5.0243e-15,2.37107e-07,5.0243e-15,2.37024e-07,7.10543e-15,-0.0004147796,,-0.0008728404,0.0000000000,-0.0000053596,0.0000000000
wivrie_P1_H,3.33658e-07,0,3.33673e-07,7.10543e-15,3.33645e-07,0,-0.0000994968,,-0.0002093766,0.0000000000,-0.0000012859,0.0000000000
wizmav13_P1,5.49197e-07,0,5.49294e-07,2.00972e-14,5.49109e-07,1.42109e-14,-0.0003991114,,-0.0008398692,0.0000000000,-0.0000051573,0.0000000000
wizmav10_P1,5.53594e-07,0,5.53692e-07,2.00972e-14,5.53507e-07,1.42109e-14,-0.0003959405,,-0.0008331963,0.0000000000,-0.0000051162,0.0000000000
wizmav05_P1,5.60141e-07,1.42109e-14,5.60239e-07,1.42109e-14,5.60054e-07,0,-0.0003913121,,-0.0008234566,0.0000000000,-0.0000050564,0.0000000000
womcuy_P1,2.62258e-07,7.10543e-15,2.62272e-07,0,2.62245e-07,0,-0.0001214479,,-0.0002555703,0.0000000000,-0.0000015690,0.0000000000
wognoy_P1_H,4.20688e-07,1.42109e-14,4.20763e-07,1.00486e-14,4.20621e-07,1.42109e-14,-0.0004005310,,-0.0008428564,0.0000000000,-0.0000051756,0.0000000000
wufhiq_P1,2.88411e-07,7.10543e-15,2.88449e-07,1.2307e-14,2.88378e-07,1.00486e-14,-0.0002914840,,-0.0006133846,0.0000000000,-0.0000037666,0.0000000000
wenkil_P1,2.54886e-07,0,2.54911e-07,7.10543e-15,2.54864e-07,0,-0.0002153160,,-0.0004530995,0.0000000000,-0.0000027824,0.0000000000
wilnem01_P1,8.13439e-07,3.48093e-14,8.13496e-07,2.84217e-14,8.13388e-07,2.00972e-14,-0.0001575783,,-0.0003315996,0.0000000000,-0.0000020365,0.0000000000
wuljuj_P1,4.5831e-07,1.00486e-14,4.58396e-07,1.00486e-14,4.58234e-07,1.74047e-14,-0.0004183512,,-0.0008803563,0.0000000000,-0.0000054059,0.0000000000
wodfon_P1_charged,3.95269e-07,1.42109e-14,3.95328e-07,0,3.95216e-07,1.00486e-14,-0.0003362220,,-0.0007075279,0.0000000000,-0.0000043447,0.0000000000
woywis_P1_charged_H,3.2778e-07,1.00486e-14,3.27833e-07,7.10543e-15,3.27733e-07,1.2307e-14,-0.0003619674,,-0.0007617050,0.0000000000,-0.0000046774,0.0000000000
wercee_P1_charged_H,4.36076e-07,1.00486e-14,4.36138e-07,0,4.3602e-07,0,-0.0003213624,,-0.0006762586,0.0000000000,-0.0000041524,0.0000000000
wizmav14_P1,5.57741e-07,2.00972e-14,5.57839e-07,1.42109e-14,5.57654e-07,1.42109e-14,-0.0003929959,,-0.0008269999,0.0000000000,-0.0000050782,0.0000000000
wijxiy_P1,7.40766e-07,2.00972e-14,7.40832e-07,0,7.40708e-07,0,-0.0001986920,,-0.0004181170,0.0000000000,-0.0000025674,0.0000000000
wizmav08_P1,5.54307e-07,0,5.54404e-07,0,5.54219e-07,1.42109e-14,-0.0003954315,,-0.0008321253,0.0000000000,-0.0000051097,0.0000000000
winbed_P1,3.33342e-07,1.2307e-14,3.33395e-07,1.00486e-14,3.33295e-07,7.10543e-15,-0.0003552703,,-0.0007476124,0.0000000000,-0.0000045906,0.0000000000
xidciz_P1_H,3.26122e-07,0,3.2615e-07,7.10543e-15,3.26096e-07,7.10543e-15,-0.0001962419,,-0.0004129612,0.0000000000,-0.0000025356,0.0000000000
xotsik_P1_H,3.70405e-07,0,3.70437e-07,1.00486e-14,3.70377e-07,1.00486e-14,-0.0001923355,,-0.0004047411,0.0000000000,-0.0000024852,0.0000000000
xoxtiq_P1_H,3.69242e-07,0,3.69285e-07,1.00486e-14,3.69204e-07,1.00486e-14,-0.0002592756,,-0.0005456060,0.0000000000,-0.0000033504,0.0000000000
xidcev_P1_H,3.94912e-07,1.00486e-14,3.94958e-07,1.00486e-14,3.9487e-07,1.00486e-14,-0.0002634098,,-0.0005543059,0.0000000000,-0.0000034038,0.0000000000
xolsuo_P1,4.23846e-07,1.00486e-14,4.23862e-07,1.74047e-14,4.23831e-07,1.00486e-14,-0.0000889243,,-0.0001871280,0.0000000000,-0.0000011495,0.0000000000
yakboe_P1,4.62242e-07,1.00486e-14,4.62291e-07,1.42109e-14,4.62198e-07,0,-0.0002388712,,-0.0005026683,0.0000000000,-0.0000030868,0.0000000000
yampel_P1,4.13513e-07,1.42109e-14,4.13559e-07,0,4.13472e-07,0,-0.0002493317,,-0.0005246807,0.0000000000,-0.0000032216,0.0000000000
xokhiq_P1,5.13395e-07,2.00972e-14,5.13408e-07,0,5.13384e-07,0,-0.0000563018,,-0.0001184770,0.0000000000,-0.0000007279,0.0000000000
