Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
fandeg_P1,3.07632e-07,7.10543e-15,3.07673e-07,7.10543e-15,3.07596e-07,7.10543e-15,-0.0002951220,,-0.0006210394,0.0000000000,-0.0000038135,0.0000000000
fabfof_P1_charged_H,3.36781e-07,1.2307e-14,3.36814e-07,7.10543e-15,3.36752e-07,7.10543e-15,-0.0002176777,,-0.0004580694,0.0000000000,-0.0000028130,0.0000000000
ewobav_P1,3.06458e-07,0,3.06489e-07,1.00486e-14,3.06431e-07,0,-0.0002238451,,-0.0004710484,0.0000000000,-0.0000028922,0.0000000000
eyopue_P1,3.37356e-07,1.00486e-14,3.3739e-07,1.00486e-14,3.37326e-07,1.00486e-14,-0.0002226116,,-0.0004684521,0.0000000000,-0.0000028766,0.0000000000
eyoqal_P1,3.53457e-07,1.00486e-14,3.53485e-07,0,3.53432e-07,1.00486e-14,-0.0001778290,,-0.0003742138,0.0000000000,-0.0000022979,0.0000000000
famqes_P1,5.65593e-07,2.00972e-14,5.65633e-07,0,5.65557e-07,2.00972e-14,-0.0001576150,,-0.0003316766,0.0000000000,-0.0000020367,0.0000000000
fewsim_P1,3.18836e-07,1.00486e-14,3.18852e-07,1.00486e-14,3.18822e-07,1.00486e-14,-0.0001144269,,-0.0002407951,0.0000000000,-0.0000014786,0.0000000000
fakmir_P1_H,8.39806e-07,0,8.3987e-07,2.00972e-14,8.39749e-07,2.00972e-14,-0.0001704377,,-0.0003586601,0.0000000000,-0.0000022023,0.0000000000
fayqih_P1,4.47795e-07,1.42109e-14,4.47854e-07,1.42109e-14,4.47742e-07,0,-0.0002956376,,-0.0006221239,0.0000000000,-0.0000038203,0.0000000000
eyakib_P1,3.16726e-07,1.00486e-14,3.16744e-07,0,3.1671e-07,1.00486e-14,-0.0001243281,,-0.0002616297,0.0000000000,-0.0000016074,0.0000000000
exewag_P1,3.78292e-07,1.00486e-14,3.78353e-07,1.00486e-14,3.78237e-07,1.00486e-14,-0.0003652032,,-0.0007685147,0.0000000000,-0.0000047190,0.0000000000
feqsif_P1,4.59351e-07,1.74047e-14,4.5938e-07,0,4.59325e-07,1.00486e-14,-0.0001402244,,-0.0002950812,0.0000000000,-0.0000018120,0.0000000000
fibhef_P1,3.01392e-07,7.10543e-15,3.01433e-07,7.10543e-15,3.01356e-07,7.10543e-15,-0.0003032363,,-0.0006381153,0.0000000000,-0.0000039182,0.0000000000
fexces_P1,3.63757e-07,0,3.63804e-07,0,3.63715e-07,1.00486e-14,-0.0002887828,,-0.0006076989,0.0000000000,-0.0000037316,0.0000000000
fecxao_P1_H,3.95158e-07,0,3.95216e-07,1.00486e-14,3.95106e-07,1.42109e-14,-0.0003299886,,-0.0006944104,0.0000000000,-0.0000042642,0.0000000000
