AtomicNumber;Symbol;Radioactive;Price($/kg);Supply risk;toxicity
1;H;0;0;0;0
2;He;0;0;3;0
3;Li;0;75.2;1;0
4;Be;0;831.6;0;3
5;B;0;0;1;0
6;C;0;0;2;0
7;N;0;0;0;0
8;O;0;0;0;0
9;F;0;0;0;0
10;Ne;0;0;0;0
11;Na;0;43.4;0;0
12;Mg;0;3.64;1;0
13;Al;0;2.23;0;1
14;Si;0;0;0;0
15;P;0;0;1;0
16;S;0;0;0;0
17;Cl;0;0;0;0
18;Ar;0;0;0;0
19;K;0;12.7;1;0
20;Ca;0;2.35;0;0
21;Sc;0;3460;1;0
22;Ti;0;11;0;0
23;V;0;370;1;0
24;Cr;0;12.5;2;3
25;Mn;0;2.2;1;1
26;Fe;0;0.09493;0;0
27;Co;0;51.96;2;0
28;Ni;0;21.41;1;0
29;Cu;0;7.53;1;1
30;Zn;0;2.86;3;1
31;Ga;0;336.7;3;0
32;Ge;0;7.3;3;0
33;As;0;0;3;3
34;Se;0;0;3;0
35;Br;0;0;0;0
36;Kr;0;0;0;0
37;Rb;0;15500;0;0
38;Sr;0;6.68;3;0
39;Y;0;8.3;3;0
40;Zr;0;37.1;1;0
41;Nb;0;45;1;0
42;Mo;0;40.5;1;0
43;Tc;1;100000;0;0
44;Ru;0;19933.46;2;0
45;Rh;0;440465.23;2;0
46;Pd;0;64314.03;2;0
47;Ag;0;600.62;3;0
48;Cd;0;2.49;2;3
49;In;0;197.89;3;0
50;Sn;0;19.65;1;0
51;Sb;0;4;1;0
52;Te;0;67.7;3;0
53;I;0;0;0;0
54;Xe;0;0;0;0
55;Cs;0;1340;0;0
56;Ba;0;0.275;0;0
57;La;0;4.92;0;0
58;Ce;0;4.71;0;0
59;Pr;0;103;0;0
60;Nd;0;127.76;1;0
61;Pm;1;460000;0;0
62;Sm;0;13.9;0;0
63;Eu;0;31.4;0;0
64;Gd;0;28.6;0;0
65;Tb;0;658;0;0
66;Dy;0;306;2;0
67;Ho;0;57.1;0;0
68;Er;0;26.4;0;0
69;Tm;0;3000;0;0
70;Yb;0;17.1;0;0
71;Lu;0;643;0;0
72;Hf;0;900;3;0
73;Ta;0;312;3;0
74;W;0;35.3;1;0
75;Re;0;4150;0;0
76;Os;0;12000;2;0
77;Ir;0;157538.66;2;0
78;Pt;0;32320;2;0
79;Au;0;58227;1;0
80;Hg;0;30.2;1;3
81;Tl;0;4200;1;0
82;Pb;0;2.062;1;3
83;Bi;0;6.36;1;0
84;Po;1;0;0;1
85;At;1;0;0;0
86;Rn;1;0;0;0
87;Fr;1;0;0;1
88;Ra;1;0;0;0
89;Ac;1;1;0;0
90;Th;1;287;0;0
91;Pa;1;1;0;0
92;U;1;111.55;0;0
93;Np;1;660000;2;0
94;Pu;1;6490000;0;3
95;Am;1;750000;0;0
96;Cm;1;185000000;0;0
97;Bk;1;1.85E+11;0;0
98;Cf;1;60000000000;0;0
99;Es;1;0;0;0
100;Fm;1;0;0;0
101;Md;1;0;0;0
102;No;1;0;0;0
103;Lr;1;0;0;0
104;Rf;1;0;0;0
105;Db;1;0;0;0
106;Sg;1;0;0;0
107;Bh;1;0;0;0
108;Hs;1;0;0;0
109;Mt;1;0;0;0
110;Ds ;1;0;0;0
111;Rg ;1;0;0;0
112;Cn ;1;0;0;0
113;Nh;1;0;0;0
114;Fl;1;0;0;0
115;Mc;1;0;0;0
116;Lv;1;0;0;0
117;Ts;1;0;0;0
118;Og;1;0;0;0
