identifier, formula, density, mass
ABADUG,C153 H90 N6 O27 Zn6,1.046453201733028,2836.6620629999998,5.0
ABEDEU,C52 H34 Au1 Co3 F1 N2 O13 P2,0.9605368254395265,1349.546223159,5.0
ABELOM01,C135 H96 Cu6 I6 N12,1.0491393968602831,3028.995492,4.0
ABEXEN,C22 H10 In1 N1 O8 S1,0.24106482871446774,563.200433,8.0
ACEMEE,C38 H22 Cu3 N8,0.8779776630646059,781.274446,2.6666666666666665
ACENIF,C38 H40 N4 O20 Zn6,1.3134408424012673,1265.0206719999999,4.666666666666667
ACIBOE,C21 H21 N1 O17 Zn3,1.3280385259555176,755.528889,6.0
ACIPIP,C16 H10 In2 O10,1.151124594907603,591.8813,6.0
ACODON,C43 H28 O17 P2 Tb2,1.1677941655254003,1196.4722769960001,8.0
ACOLUB,C64 H50 Cd3 N4 O19,1.084325529475377,1516.3419170000002,6.0
ACUFEK,C192 H120 Cu12 N24 O60,0.5877500268911905,4485.692172000001,6.0
ACURUO,C74 H70 Cd4 N10 O24,1.1293241253314523,1933.05938,7.0
ADABAK01,C17 H14 Cu2 N10 O4,1.6501308947044506,549.4504039999999,5.0
ADASIJ,C66 H48 Cu6 O36,0.6694840099713588,1798.344588,5.0
ADATAC,C102 H72 N12 O36 Zn6,0.35295659539382357,2434.0062479999997,5.0
ADATIK,C96 H96 Cu12 N30 O56,0.4339360570027765,3328.5131460000002,5.5
ADEGEY,C42 H18 Cd2 Cl2 O12,1.0207341589339012,1010.320678,7.0
ADIPAI,C42 H32 Cu3 N10,0.9775279702342197,867.410222,2.6666666666666665
ADUJER,C24 H17 Cl2 N9 Ni1,0.5112350044465798,561.0522840000001,6.0
ADUWON,C108 H84 Ni3 O42,0.5477945758017071,2229.8821740000003,6.0
AFADAN,C18 H24 Fe1 N18,1.121315732919648,548.349558,6.0
AFITIT,C184 H128 N8 O32 Zn8,2.033709812917057,3486.067192,5.0
AFUKAP,C64 H50 Mn3 N4 O19,0.9591304085227811,1343.914049,6.0
AGOFEJ,C104 H104 Cu6 N16 O20,0.6184399626756818,2279.314172,5.333333333333333
AGOVID,C114 H72 In6 N6 O26,0.6422019398566919,2630.72886,6.0
AHAFAR,C36 H36 Co2 N8 O9,1.3826508088643923,842.5871730000001,4.0
AHEQAH,C36 H21 Ho1 N1 O10,0.8948763806079816,792.484484,8.0
AHUJEV,C18 H14 F4 O5 Pb1 S4,1.638895692215647,721.754331652,7.0
AJAKON,C84 H52 Cd5 N4 O26,1.3911326508516324,2095.3964339999998,6.4
AKAYIV,C48 H30 Br2 Cu2 N6 O12,1.1430630710552772,1169.6858280000001,4.0
AKEKIN,C48 H26 N12 O16 Zr3,0.5044582439472711,1300.464902,8.0
AKOJAO,C14 H6 Cd1 N2 O10 U1,1.8517514281779872,712.648372,6.5
ALAHUS,C43 H29 N2 O23 Tb3,1.4586641059732175,1418.4678800000002,8.333333333333334
ALAJOP01,C62 H48 N2 O8 Zn2,0.5658716000475557,1079.815694,5.0
ALECAY,C62 H32 O16 U2,0.41828599234702557,1508.968292,8.0
ALEJEI,C66 H48 Cu6 N12 O36,0.635721679180423,1966.425024,5.0
ALEJIM,C66 H48 N12 O36 Zn6,0.626340810693593,1977.4290239999998,5.0
ALICII,C4 H4 Cu3 N6,1.5079826514947736,326.752942,2.0
ALIXID,C34 H16 Co3 O16,1.310542091747019,857.2822779999999,6.0
ALUDIX,C7 H5 N3 O3 Zn1,1.0666782721787786,244.51320900000002,4.0
AMILUE,C63 H55 N9 O17 Zn4,1.0337448827585651,1471.683587,5.0
ANUGIA,C28 H18 Cu2 O10,0.6017679195518044,641.529708,5.0
ANUGUM,C29 H13 O10 Zn2,0.6803933815903821,652.168743,4.0
APAZEY,C27 H19 O8 Tb1,1.0306068737777838,630.361449,9.0
APAZIC,C27 H19 La1 O8,0.9496558191180297,610.3415689999999,9.0
APUZUJ,C81 H48 Co3 N12 O18,1.28679115454229,1654.120416,6.0
AQUCOG,C8 H2 Ne1 Ni2 O6,1.2450221706154083,331.664732,5.0
AQUDIB,C8 H2 Ne1 Ni2 O6,1.216762311457321,331.664732,5.0
ARADEE,C32 H28 Cd3 N5 O14,1.4185423829659196,1043.833213,7.0
ARAJEK,C20 H12 Cu1 N2 O4,1.1732446963332654,407.867118,6.0
ARAJIO,C20 H12 Co1 N2 O4,1.1659608825833299,403.254312,6.0
ARAJOU,C20 H12 N2 Ni1 O4,1.1994452743769863,403.01451799999995,6.0
ARAKAH,C20 H12 N2 O4 Zn1,1.1858401429686627,409.70111799999995,6.0
ARAZOL,C100 H64 Cd2 N12 O8,1.0665451820898577,1786.4859000000001,7.0
AROFAP,C99 H84 Cd6 O42,1.220305112166672,2620.189314,5.833333333333333
AROHOH,C86 H54 N6 O30 S1 Zn8,0.8264051136537971,2206.479622,4.625
AROQAB,C44 H38 K2 N4 O2,1.1313301208285031,732.9965400000001,10.5
ASINEX,C93 H65 N9 O13 Zn3,0.6894071830104342,1712.7075770000001,5.0
ASINIB,C93 H65 Cu3 N9 O13,0.6958448611575915,1707.2055770000002,5.0
ATAJAI,C140 H96 N16 O24 Zn6,1.106918008249846,2778.638904,4.0
ATEYOP,C80 H57 Gd3 O23,0.7745244228699356,1858.0481519999998,7.666666666666667
ATEYUV,C80 H57 Ho3 O23,0.8046347101539534,1881.0891419999998,7.666666666666667
ATEZAC,C80 H49 Er3 O19,0.7083108811622997,1816.0140039999999,6.333333333333333
ATOBIW,C25 H17 N5 O5 Zn1,1.112781159842534,532.814037,4.0
ATURIS,C27 H13 In1 N1 O8,0.5562178337294739,594.213156,8.0
AVAJUE02,C78 H54 Cu3 N2 O15,0.17046778594429518,1449.909015,6.0
AVAKAL02,C78 H54 Cu3 N2 O15,0.21544187973857218,1449.909015,6.0
AVAKEP02,C96 H78 Cu3 N2 O15,0.2530808919709011,1690.292919,6.0
AVEBUB,C21 H12 Cd1 O7 P1,0.7346149843031857,519.704428998,7.0
AVEQID,C44 H32 N2 O22 Zn4,0.8804555061164693,1202.2469879999999,5.0
AVESOL,C23 H11 O11 Zn2,0.9844431753631039,594.087826,5.5
AVIHIY,C9 H5 Ho1 O7,1.6997417620869637,390.06253,7.0
AVIHOE,C9 H5 O7 Tm1,1.7424178682710323,394.06642000000005,7.0
AVUDAX,C60 H68 Cl6 Cu3 N36 O3,1.1798878055318927,1744.7793110000002,6.0
AVUJAF,C72 H46 Co2 N4 O9,0.9855636181013476,1229.0264109999998,6.0
AVUJUZ,C70 H44 Co2 N6 O9,0.981115076931012,1231.002455,6.0
AVUKEK,C68 H42 Co2 N8 O9,0.9860247493331306,1232.978499,6.0
AVUPEP,C36 H16 Fe3 O14,0.6345785052754055,840.040366,6.0
AVUYEY,C60 H36 Co4 F3 N15 O10 S1,0.7333337130133412,1451.817656489,6.0
AWASEY,C60 H60 Cu12 I12 K1 N10 O31 Pr3,1.2149348100425361,4164.396365,5.0625
AWATAV,C54 H36 Co3 N42 S6,1.2753184541598857,1642.335744,6.0
AWEXUX,C46 H30 N4 O12 Zn2,1.1893173680628542,961.5119420000001,5.0
AXINAX01,C162 H138 Co11 O60,0.4552998826394023,3693.0651719999996,6.0
AXINIF,C54 H34 Co3 O14,0.7647879454285393,1083.641206,5.333333333333333
AXOYUK,C27 H21 Eu1 O9,1.234702376404513,641.415386,9.0
AXUKUB,C8 H3 Cd1 O4 S1,0.9637932232618688,307.586163,6.0
AXULAI,C32 H12 Cd4 O16 S4,0.8998654687333855,1230.344652,6.0
AXUVIB,C92 H56 N12 O16 Zn4,0.863177336379359,1847.023692,6.0
AYOQEM,C138 H126 Cu12 N6 O60,0.9138876800688931,3591.0392039999997,4.5
AZEKIC,C126 H83 O50 Y9,1.0236562558989812,3197.1351529999997,7.666666666666667
AZEKOI,C126 H83 O50 Tb9,1.2208680619238677,3827.310743,7.666666666666667
AZUHUB,C20 H17 Fe1 N1 O14 P2 Zn2,1.2607505894799371,743.900693996,4.0
AZUJAJ,C16 H8 Cu1 O14 P2 Zn2,1.1466237888814481,680.480561996,4.0
